
   Bytes sent (11545769)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   
           1024         |       0.05       |              0.00        |            21731.56        |              312300.33   
           1024         |       0.05       |              0.00        |            21845.33        |              356914.66   
           1024         |       0.05       |              0.00        |            21959.11        |              407902.47   
           1024         |       0.05       |              0.00        |            22072.89        |              466174.25   
           1024         |       0.05       |              0.00        |            22186.67        |              532770.57   
           1024         |       0.05       |              0.00        |            22300.44        |              608880.65   
           1024         |       0.05       |              0.00        |            22414.22        |              695863.60   
           1024         |       0.05       |              0.00        |            22528.00        |              795272.68   
           1024         |       0.05       |              0.13        |            20377.60        |                8118.82   
           1024         |       0.05       |              0.11        |            20480.00        |                9278.65   
           1024         |       0.05       |              0.10        |            20582.40        |               10604.18   
           1024         |       0.05       |              0.08        |            20684.80        |               12119.06   
           1024         |       0.05       |              0.07        |            20787.20        |               13850.35   
           1024         |       0.05       |              0.06        |            20889.60        |               15828.98   
           1024         |       0.05       |              0.06        |            20992.00        |               18090.26   
           1024         |       0.05       |              0.05        |            21094.40        |               20674.58   
           1024         |       0.05       |              0.04        |            21196.80        |               23628.09   
           1024         |       0.05       |              0.04        |            21299.20        |               27003.53   
           1024         |       0.05       |              0.03        |            21401.60        |               30861.18   
           1024         |       0.05       |              0.03        |            21504.00        |               35269.92   
           1024         |       0.05       |              0.03        |            21606.40        |               40308.48   
           1024         |       0.05       |              0.02        |            21708.80        |               46066.84   
           1024         |       0.05       |              0.02        |            21811.20        |               52647.81   
           1024         |       0.05       |              0.02        |            21913.60        |               60168.93   
           1024         |       0.05       |              0.01        |            22016.00        |               68764.49   
           1024         |       0.05       |              0.01        |            22118.40        |               78587.99   
           1024         |       0.05       |              0.01        |            22220.80        |               89814.84   
           1024         |       0.05       |              0.01        |            22323.20        |              102645.53   
           1024         |       0.05       |              0.01        |            22425.60        |              117309.18   
           1024         |       0.05       |              0.01        |            22528.00        |              134067.64   
           1024         |       0.05       |              0.01        |            22630.40        |              153220.16   
           1024         |       0.04       |              0.01        |            22732.80        |              175108.75   
           1024         |       0.04       |              0.01        |            22835.20        |              200124.29   
           1024         |       0.04       |              0.00        |            22937.60        |              228713.47   
           1024         |       0.04       |              0.00        |            23040.00        |              261386.82   
           1024         |       0.04       |              0.00        |            23142.40        |              298727.80   
           1024         |       0.04       |              0.00        |            23244.80        |              341403.20   
           1024         |       0.04       |              0.00        |            23347.20        |              390175.08   
           1024         |       0.04       |              0.00        |            23449.60        |              445914.38   
           1024         |       0.04       |              0.00        |            23552.00        |              509616.44   
           1024         |       0.04       |              0.00        |            23654.40        |              582418.78   
           1024         |       0.04       |              0.00        |            23756.80        |              665621.47   
           1024         |       0.04       |              0.00        |            23859.20        |              760710.25   
           1024         |       0.04       |              0.00        |            23961.60        |              869383.14   
           1024         |       0.04       |              0.00        |            24064.00        |              993580.73   
           1024         |       0.04       |              0.00        |            24166.40        |             1135520.84   
           1024         |       0.04       |              0.00        |            24268.80        |             1297738.10   
           1024         |       0.04       |              0.00        |            24371.20        |             1483129.26   
           1024         |       0.04       |              0.00        |            24473.60        |             1695004.86   
           1024         |       0.04       |              0.00        |            24576.00        |             1937148.42   
           1024         |       0.04       |              0.00        |            24678.40        |             2213883.90   
           1024         |       0.04       |              0.00        |            24780.80        |             2530153.03   
           1024         |       0.04       |              0.00        |            24883.20        |             2891603.47   
           1024         |       0.04       |              0.00        |            24985.60        |             3304689.68   
           1024         |       0.04       |              0.00        |            25088.00        |             3776788.20   
           1024         |       0.04       |              0.00        |            25190.40        |             4316329.37   
           1024         |       0.04       |              0.00        |            25292.80        |             4932947.86   
           1024         |       0.04       |              0.00        |            25395.20        |             5637654.69   
           1024         |       0.04       |              0.00        |            25497.60        |             6443033.93   
           1024         |       0.04       |              0.00        |            25600.00        |             7363467.35   
           1024         |       0.04       |              0.00        |            25702.40        |             8415391.26   
           1024         |       0.04       |              0.00        |            25804.80        |             9617590.01   
           1024         |       0.04       |              0.00        |            25907.20        |            10991531.44   
           1024         |       0.04       |              0.00        |            26009.60        |            12561750.22   
           1024         |       0.04       |              0.00        |            26112.00        |            14356285.96   
           1024         |       0.04       |              0.00        |            26214.40        |            16407183.96   
           1024         |       0.04       |              0.00        |            26316.80        |            18751067.38   
           1024         |       0.04       |              0.00        |            26419.20        |            21429791.29   
           1024         |       0.04       |              0.00        |            26521.60        |            24491190.05   
           1024         |       0.04       |              0.00        |            26624.00        |            27989931.49   
           1024         |       0.04       |              0.00        |            26726.40        |            31988493.13   
           1024         |       0.04       |              0.00        |            26828.80        |            36558277.86   
           1024         |       0.04       |              0.00        |            26931.20        |            41780888.98   
           1024         |       0.04       |              0.00        |            27033.60        |            47749587.41   
           1024         |       0.04       |              0.00        |            27136.00        |            54570957.04   
           1024         |       0.04       |              0.00        |            27238.40        |            62366808.04   
           1024         |       0.04       |              0.00        |            27340.80        |            71276352.05   
           1024         |       0.04       |              0.00        |            27443.20        |            81458688.06   
           1024         |       0.04       |              0.00        |            27545.60        |            93095643.50   
           1024         |       0.04       |              0.00        |            27648.00        |           106395021.14   
           1024         |       0.04       |              0.00        |            27750.40        |           121594309.87   
           1024         |       0.04       |              0.00        |            27852.80        |           138964925.57   
           1024         |       0.04       |              0.13        |            25413.82        |                8191.58   
           1024         |       0.04       |              0.11        |            25506.91        |                9361.80   
           1024         |       0.04       |              0.10        |            25600.00        |               10699.20   
           1024         |       0.04       |              0.08        |            25693.09        |               12227.66   
           1024         |       0.04       |              0.07        |            25786.18        |               13974.47   
           1024         |       0.04       |              0.06        |            25879.27        |               15970.82   
           1024         |       0.04       |              0.06        |            25972.36        |               18252.37   
