
   Bytes sent (167544)   |   Avg RTT (ms)   |   Estimated RTT (ms)   |   Avg Bandwidth (KB/s)   |   Estimated Bandwidth (KB/s)   
           1024         |       0.07       |              0.00        |            14336.00        |              522880.15   
           1024         |       0.07       |              0.00        |            14438.40        |              597577.31   
           1024         |       0.07       |              0.00        |            14540.80        |              682945.50   
           1024         |       0.07       |              0.00        |            14643.20        |              780509.14   
           1024         |       0.07       |              0.00        |            14745.60        |              892010.45   
           1024         |       0.07       |              0.00        |            14848.00        |             1019440.51   
           1024         |       0.07       |              0.00        |            14950.40        |             1165074.87   
           1024         |       0.07       |              0.00        |            15052.80        |             1331514.14   
           1024         |       0.07       |              0.00        |            15155.20        |             1521730.45   
           1024         |       0.07       |              0.00        |            15257.60        |             1739120.51   
           1024         |       0.07       |              0.00        |            15360.00        |             1987566.30   
           1024         |       0.07       |              0.13        |            14056.73        |                8162.56   
           1024         |       0.07       |              0.11        |            14149.82        |                9328.64   
           1024         |       0.07       |              0.10        |            14242.91        |               10661.31   
           1024         |       0.07       |              0.08        |            14336.00        |               12184.35   
           1024         |       0.07       |              0.07        |            14429.09        |               13924.97   
           1024         |       0.07       |              0.06        |            14522.18        |               15914.25   
           1024         |       0.07       |              0.06        |            14615.27        |               18187.72   
           1024         |       0.07       |              0.05        |            14708.36        |               20785.96   
           1024         |       0.07       |              0.04        |            14801.45        |               23755.39   
           1024         |       0.07       |              0.04        |            14894.55        |               27149.01   
           1024         |       0.07       |              0.03        |            14987.64        |               31027.44   
           1024         |       0.07       |              0.03        |            15080.73        |               35459.93   
           1024         |       0.07       |              0.03        |            15173.82        |               40525.64   
            632         |       0.07       |              0.02        |            15231.27        |               28585.05   

 Total Avg Estimated RTT: 0.07ms   |   Total Avg Estimated BW: InfinityKB/s 

*** File transfer complete...
